index,id,release_date,production_budget,worldwide_gross,genre_ids
All Superheroes Must Die,56,2013,20000,0,Science Fiction
All Superheroes Must Die,56,2013,20000,0,Thriller
All the Boys Love Mandy Lane,83,2013,750000,1960521,Horror
All the Boys Love Mandy Lane,83,2013,750000,1960521,Mystery
All the Boys Love Mandy Lane,83,2013,750000,1960521,Thriller
Alleluia! The Devil's Carnival,87,2015,500000,0,Music
Alleluia! The Devil's Carnival,87,2015,500000,0,Horror
Allied,47,2016,106000000,119266661,Action
Allied,47,2016,106000000,119266661,Drama
Allied,47,2016,106000000,119266661,War
Allied,47,2016,106000000,119266661,Romance
Allied,47,2016,106000000,119266661,Thriller
Allied,47,2016,106000000,119266661,Action
Allied,47,2016,106000000,119266661,Drama
Allied,47,2016,106000000,119266661,War
Allied,47,2016,106000000,119266661,Romance
Allied,47,2016,106000000,119266661,Thriller
Almost Christmas,81,2016,17000000,42493506,Comedy
Almost Christmas,81,2016,17000000,42493506,Drama
Almost Famous,22,2000,60000000,47371191,Drama
Almost Famous,22,2000,60000000,47371191,Music
Aloft,33,2015,8000000,237688,Drama
Aloha,3,2015,37000000,25387091,Drama
Aloha,3,2015,37000000,25387091,Comedy
Aloha,3,2015,37000000,25387091,Romance
Alpha,79,2018,51000000,99624873,Adventure
Alpha,79,2018,51000000,99624873,Drama
Alvin and the Chipmunks: Chipwrecked,49,2011,80000000,349088523,Comedy
Alvin and the Chipmunks: Chipwrecked,49,2011,80000000,349088523,Fantasy
Alvin and the Chipmunks: Chipwrecked,49,2011,80000000,349088523,Family
Alvin and the Chipmunks: Chipwrecked,49,2011,80000000,349088523,Music
Alvin and the Chipmunks: Chipwrecked,49,2011,80000000,349088523,Animation
Alvin and the Chipmunks: The Road Chip,56,2015,90000000,249517956,Adventure
Alvin and the Chipmunks: The Road Chip,56,2015,90000000,249517956,Animation
Alvin and the Chipmunks: The Road Chip,56,2015,90000000,249517956,Comedy
Alvin and the Chipmunks: The Road Chip,56,2015,90000000,249517956,Family
American Assassin,28,2017,63000000,68310140,Action
American Assassin,28,2017,63000000,68310140,Thriller
American Heist,35,2015,10000000,2341218,Action
American Hero,3,2015,1000000,26,Action
American Hero,3,2015,1000000,26,Comedy
American Hero,3,2015,1000000,26,Science Fiction
American Honey,15,2016,3500000,2611750,Drama
American Hustle,80,2013,40000000,257878294,Drama
American Hustle,80,2013,40000000,257878294,Crime
American Hustle,80,2013,40000000,257878294,Drama
American Hustle,80,2013,40000000,257878294,Crime
American Made,32,2017,50000000,135569212,Action
American Made,32,2017,50000000,135569212,Crime
American Made,32,2017,50000000,135569212,Action
American Made,32,2017,50000000,135569212,Crime
American Pie,44,1999,12000000,234723148,Comedy
American Pie,44,1999,12000000,234723148,Romance
American Reunion,26,2012,50000000,236799211,Comedy
American Sniper,57,2014,58000000,547326372,War
American Sniper,57,2014,58000000,547326372,Action
American Sniper,57,2014,58000000,547326372,War
American Sniper,57,2014,58000000,547326372,Action
American Ultra,72,2015,28000000,30295028,Comedy
American Ultra,72,2015,28000000,30295028,Action
Amigo,94,2011,1500000,184705,Drama
Amigo,94,2011,1500000,184705,History
Amigo,94,2011,1500000,184705,War
Amnesiac,72,2015,3000000,0,Thriller
Amnesiac,72,2015,3000000,0,Mystery
Amnesiac,72,2015,3000000,0,Drama
Amnesiac,72,2015,3000000,0,Horror
Amour,51,2012,9700000,36787044,Drama
Amour,51,2012,9700000,36787044,Romance
Anchorman 2: The Legend Continues,92,2013,50000000,172185754,Comedy
And So It Goes,14,2014,18000000,17920013,Comedy
And So It Goes,14,2014,18000000,17920013,Drama
And So It Goes,14,2014,18000000,17920013,Romance
Anderson's Cross,65,2010,300000,0,Romance
Anderson's Cross,65,2010,300000,0,Comedy
Anderson's Cross,65,2010,300000,0,Drama
Animal Kingdom,71,2010,4200000,8078683,Drama
Animal Kingdom,71,2010,4200000,8078683,Thriller
Animal Kingdom,71,2010,4200000,8078683,Crime
Animal Kingdom,71,2010,4200000,8078683,Mystery
Animals,34,2008,5500000,0,Drama
Anna,64,2014,4357373,1200000,Horror
Anna Karenina,13,2012,49000000,71004627,Drama
Anna Karenina,13,2012,49000000,71004627,Romance
Annabelle,84,2014,6500000,256862920,Horror
Annabelle: Creation,2,2017,15000000,305384865,Horror
Annabelle: Creation,2,2017,15000000,305384865,Mystery
Annabelle: Creation,2,2017,15000000,305384865,Thriller
Annie,89,2014,65000000,139829625,Comedy
Annie,89,2014,65000000,139829625,Drama
Annie,89,2014,65000000,139829625,Family
Annihilation,32,2018,55000000,43070915,Science Fiction
Anomalisa,6,2015,8000000,5706168,Animation
Anomalisa,6,2015,8000000,5706168,Comedy
Anomalisa,6,2015,8000000,5706168,Drama
Anomalisa,6,2015,8000000,5706168,Romance
Anomalisa,6,2015,8000000,5706168,Animation
Anomalisa,6,2015,8000000,5706168,Comedy
Anomalisa,6,2015,8000000,5706168,Drama
Anomalisa,6,2015,8000000,5706168,Romance
Anonymous,90,2011,27500000,15815509,Drama
Anonymous,90,2011,27500000,15815509,History
Anonymous,90,2011,27500000,15815509,Thriller
Another Earth,48,2011,175000,2102779,Drama
Another Earth,48,2011,175000,2102779,Science Fiction
Another Happy Day,52,2011,4000000,978527,Comedy
Another Happy Day,52,2011,4000000,978527,Drama
Another Year,8,2010,8000000,20005613,Comedy
Another Year,8,2010,8000000,20005613,Drama
Ant-Man,43,2015,130000000,518858449,Science Fiction
Ant-Man,43,2015,130000000,518858449,Action
Ant-Man,43,2015,130000000,518858449,Adventure
Ant-Man and the Wasp,41,2018,130000000,623144660,Action
Ant-Man and the Wasp,41,2018,130000000,623144660,Adventure
Ant-Man and the Wasp,41,2018,130000000,623144660,Science Fiction
Ant-Man and the Wasp,41,2018,130000000,623144660,Comedy
Antarctica: A Year on Ice,71,2014,1000000,288757,Drama
Antarctica: A Year on Ice,71,2014,1000000,288757,Adventure
