index,id,release_date,production_budget,worldwide_gross,genre_ids
All the Real Girls,63,2003,1000000,703020,
Alleluia! The Devil's Carnival,87,2015,500000,0,"[10402, 27]"
Allied,47,2016,106000000,119266661,"[28, 18, 10752, 10749, 53]"
Allied,47,2016,106000000,119266661,"[28, 18, 10752, 10749, 53]"
Almost Christmas,81,2016,17000000,42493506,"[35, 18]"
Almost Famous,22,2000,60000000,47371191,"[18, 10402]"
Aloft,33,2015,8000000,237688,[18]
Aloha,3,2015,37000000,25387091,"[18, 35, 10749]"
Alone in the Dark,72,2005,20000000,10588079,
Alone with Her,91,2007,1000000,844377,
Along Came Polly,47,2004,42000000,173044410,
Along Came a Spider,39,2001,28000000,105159085,
Along the Roadside,91,2015,250000,3234,
Alpha,79,2018,51000000,99624873,"[12, 18]"
Alpha & Omega: The Legend of the Saw Tooth Cave,71,2015,7000000,0,
Alpha and Omega 3D,80,2010,20000000,48958353,
Alvin and the Chipmunks,83,2007,55000000,362605033,
Alvin and the Chipmunks: Chipwrecked,49,2011,80000000,349088523,"[35, 14, 10751, 10402, 16]"
Alvin and the Chipmunks: The Road Chip,56,2015,90000000,249517956,"[12, 16, 35, 10751]"
Alvin and the Chipmunks: The Squeakquel,95,2009,70000000,443483213,
Always Woodstock,57,2014,2400000,0,
Amadeus,81,1984,18000000,51973029,
Amelia,8,2009,40000000,19756077,
Amen,25,2003,14000000,274299,
America Is Still The Place,76,2014,500000,0,
America's Sweethearts,45,2001,46000000,160648493,
American Anthem,36,1986,7000000,3571624,
American Assassin,28,2017,63000000,68310140,"[28, 53]"
American Beauty,98,1999,15000000,356258047,
American Desi,77,2001,250000,1366235,
American Dreamz,1,2006,17000000,16510971,
American Gangster,72,2007,100000000,267985456,
American Graffiti,73,1973,777000,140000000,
American Heist,35,2015,10000000,2341218,[28]
American Hero,3,2015,1000000,26,"[28, 35, 878]"
American History X,53,1998,10000000,6719864,
American Honey,15,2016,3500000,2611750,[18]
American Hustle,80,2013,40000000,257878294,"[18, 80]"
American Hustle,80,2013,40000000,257878294,"[18, 80]"
American Made,32,2017,50000000,135569212,"[28, 80]"
American Made,32,2017,50000000,135569212,"[28, 80]"
American Ninja 2: The Confrontation,29,1987,350000,4000000,
American Outlaws,25,2001,35000000,13601109,
American Pie,44,1999,12000000,234723148,"[35, 10749]"
American Pie 2,41,2001,30000000,286500000,
American Psycho,92,2000,8000000,34270285,
American Reunion,26,2012,50000000,236799211,[35]
American Sniper,57,2014,58000000,547326372,"[10752, 28]"
American Sniper,57,2014,58000000,547326372,"[10752, 28]"
American Splendor,10,2003,2000000,8685632,
American Teen,59,2008,5000000,989319,
American Ultra,72,2015,28000000,30295028,"[35, 28]"
American Wedding,94,2003,55000000,126425115,
Amidst the Devil's Wings,66,2015,300000,0,
Amigo,94,2011,1500000,184705,"[18, 36, 10752]"
Amistad,47,1997,40000000,58250151,
Amnesiac,72,2015,3000000,0,"[53, 9648, 18, 27]"
Among Giants,45,1999,4000000,64359,
Amores Perros,14,2001,2000000,20883834,
Amour,51,2012,9700000,36787044,"[18, 10749]"
An Alan Smithee Film: Burn Hollywood Burn,25,1998,10000000,45779,
An American Carol,62,2008,20000000,7022183,
An American Haunting,97,2006,14000000,30443277,
An American in Hollywood,70,2014,125000,0,
An Education,59,2009,7500000,29652736,
An Everlasting Piece,44,2000,4000000,75078,
An Ideal Husband,23,1999,10700000,31341183,
An Inconvenient Sequel,39,2017,1000000,5839322,
An Inconvenient Truth,16,2006,1000000,53365925,
An Unfinished Life,83,2005,30000000,18535575,
Anaconda,75,1997,45000000,136998907,
Anacondas: The Hunt for the Blood Orchid,31,2004,25000000,70326393,
Analyze That,24,2002,60000000,54994757,
Analyze This,52,1999,30000000,176885658,
Anastasia,60,1997,53000000,139801096,
Anatomie,42,2000,2500000,9598,
Anchorman 2: The Legend Continues,92,2013,50000000,172185754,[35]
Anchorman: The Legend of Ron Burgundy,72,2004,25000000,89476265,
And So It Goes,14,2014,18000000,17920013,"[35, 18, 10749]"
And Then Came Love,27,2007,989000,8158,
And When Did You Last See Your Father?,15,2008,8000000,2476491,
Anderson's Cross,65,2010,300000,0,"[10749, 35, 18]"
Angel Eyes,72,2001,38000000,29544532,
Angela's Ashes,75,1999,25000000,13038660,
Angels & Demons,81,2009,150000000,490875846,
Anger Management,78,2003,56000000,195660942,
Animal Kingdom,71,2010,4200000,8078683,"[18, 53, 80, 9648]"
Animals,34,2008,5500000,0,[18]
Animals,34,2008,5500000,0,[]
Anna,64,2014,4357373,1200000,[27]
Anna Karenina,13,2012,49000000,71004627,"[18, 10749]"
Anna and the King,60,1999,75000000,39251128,
Annabelle,84,2014,6500000,256862920,[27]
Annabelle: Creation,2,2017,15000000,305384865,"[27, 9648, 53]"
Annie,89,2014,65000000,139829625,"[35, 18, 10751]"
Annie Get Your Gun,77,1950,3768785,8000000,
Annie Hall,80,1977,4000000,38251425,
Annihilation,32,2018,55000000,43070915,[878]
Anomalisa,6,2015,8000000,5706168,"[16, 35, 18, 10749]"
Anomalisa,6,2015,8000000,5706168,"[16, 35, 18, 10749]"
Anonymous,90,2011,27500000,15815509,"[18, 36, 53]"
Another Earth,48,2011,175000,2102779,"[18, 878]"
Another Happy Day,52,2011,4000000,978527,"[35, 18]"
Another Year,8,2010,8000000,20005613,"[35, 18]"
Ant-Man,43,2015,130000000,518858449,"[878, 28, 12]"
Ant-Man and the Wasp,41,2018,130000000,623144660,"[28, 12, 878, 35]"
Antarctic Edge: 70Âº South,60,2015,150000,7193,
Antarctica: A Year on Ice,71,2014,1000000,288757,"[18, 12, 99]"
Antibirth,49,2016,2500000,0,[27]
Antitrust,77,2001,30000000,17865209,
Antiviral,63,2013,3100000,123407,"[878, 27]"
Antwone Fisher,19,2002,12500000,23367586,
Antz,61,1998,60000000,152457863,
Any Given Sunday,72,1999,60000000,100230832,
Anything Else,38,2003,18000000,13203044,
Anywhere But Here,84,1999,23000000,18653615,
Apocalypse Now,20,1979,31500000,81250485,
Apocalypto,38,2006,40000000,121032272,
